Close,Volume,Tradecount,Volume USDT,sma_7,volatility_7,ema_14,rsi_14,target
262.59,25036.78582,17691,6741018.6729032,267.3,17.583241074007272,279.34087073114847,44.38252634042707,244.68
244.68,34832.27138,21854,8365398.2271549,259.1114285714286,10.748857968130208,274.19846695347985,44.328038056177235,238.27
238.27,34985.03167,23777,8540220.645454,257.2942857142857,13.156248017757578,268.9469291558297,37.840901820602056,206.03
206.03,52930.1782,33492,11334425.401545,250.52142857142854,23.56053015007023,259.86710542189115,33.17774709431302,223.69
223.69,29739.10081,21567,6491443.6770675,244.92000000000002,24.75767894344406,254.70293387906298,33.236495297156324,222.61
222.61,20221.253,17150,4495346.5939887,239.40714285714284,24.824760968493592,250.1644885716636,20.869916285385074,247.33
247.33,63293.12934,34824,15468084.2093889,235.02857142857144,18.87818708507341,249.76686111169334,30.464227242920046,238.77
238.77,71369.27484,37685,17455596.1937566,231.6257142857143,14.7852717900195,248.23484579268785,34.4882783382545,233.0
233.0,78182.30493,43209,17951834.0389651,229.95714285714286,13.684607794020797,246.12503820075577,33.66012848706167,240.54
240.54,65010.14465,30382,15696625.2379845,230.28142857142856,13.938962692839278,245.35555515355247,46.88375585153825,275.28
275.28,100812.2137,41513,28259590.9525604,240.17428571428573,17.876555276993773,249.46018453017814,55.46108833539089,269.01
269.01,43811.61108,23777,12078548.8351749,246.64857142857142,19.07782082993322,252.13152348541234,51.552570403333924,252.65
252.65,76256.97086,33866,19095109.7595696,250.94000000000003,15.879909739457604,252.20213582005525,47.97805102543294,244.48
244.48,53921.90417,25770,13345180.4614226,250.53285714285715,16.023775787128876,251.15344081030722,41.741442735528054,247.63
247.63,70931.30085,29781,16870783.6057008,251.79857142857142,15.272065379390186,250.67612350508128,46.07513566454036,223.77
223.77,83842.47294,37597,19073326.491015,250.48,17.413883350169783,247.0389436686652,44.68019831311873,233.11
233.11,45676.80703,22683,10548375.5870647,249.41857142857143,18.323422559273723,245.15949527257547,48.706504151754444,257.98
257.98,42811.12858,20564,10476151.1928371,246.94714285714286,15.144942735982116,246.8866210954446,63.52230262214464,234.12
234.12,62203.40257,26501,15137840.8726771,241.96285714285713,12.111151492578125,245.16912880077635,52.62998266771014,229.5
229.5,35755.94861,18021,8398319.5240128,238.65571428571428,11.864705161588098,243.06368174032394,51.706878442767184,179.28
179.28,150044.07322,49964,28582968.2798405,229.3414285714286,24.929530968024658,234.50199259453987,35.03276958404621,182.44
182.44,155640.00921,51587,26395093.9553367,220.02857142857144,28.83012338311613,227.51996795777816,37.309059062196056,186.14
186.14,98372.75595,37258,18512748.8931803,214.65285714285713,31.409141299036527,221.9748135172124,39.34321590646309,191.42
191.42,59369.45319,24967,11209086.5468799,208.69714285714284,31.278349122188466,217.88304367873184,38.71323280337657,210.4
210.4,59162.64755,24687,12075942.5082162,201.90000000000003,22.80607521400054,216.88152976783914,33.92786130107979,190.16
190.16,64817.00761,28336,12460823.8720531,195.61999999999998,18.001540674804726,213.30698284590585,31.73161371464441,178.0
178.0,60376.3605,26955,10811398.7705123,188.26285714285714,11.015518922993984,208.5860202124167,32.36141745163346,176.98
176.98,49510.38638,23619,8716023.1174421,187.93428571428572,11.35712237194836,204.361519326919,33.49310149220669,180.89
180.89,43298.498,21988,7744819.2302216,187.71285714285713,11.496354080439525,201.22531466714238,33.73939931609205,179.59
179.59,39819.99079,16942,7216982.0076145,186.77714285714288,11.90500554988692,198.33528011873892,37.90649003235049,177.09
177.09,49473.65655,19450,8624749.6547423,184.73,12.201939736505599,195.49804462799347,34.06893142438267,182.1
182.1,31424.8731,14128,5654927.1489505,180.68714285714285,4.598534963388274,193.70916252155212,25.673247246566675,196.74
196.74,47275.56346,20582,8994922.7138862,181.62714285714287,6.936054868788012,194.11375955327244,37.26318303336131,181.5
181.5,36900.24385,18605,6841796.6762381,182.12714285714287,6.754790187427826,192.43017455334723,34.748344646181835,168.21
168.21,56599.48048,30313,9714236.0456283,180.87428571428572,8.465315227724396,189.19790548552342,45.403963832471206,165.19
165.19,37253.63137,22621,6066209.6768111,178.63142857142856,10.334030237635341,185.9943497108586,42.82982293110382,143.69
143.69,64818.91744,32711,9681259.4991677,173.50285714285715,16.716368938144754,180.3499496510656,34.62958588736184,131.68
131.68,124193.03592,55200,15940474.8921879,167.0157142857143,22.79738497952653,173.85681444905939,29.37439296201147,160.3
160.3,143242.70975,55345,21386022.9719593,163.90142857142857,21.863204574940383,172.04831984494433,33.78220592418178,147.09
147.09,300059.19271,101423,46812220.1772089,156.8085714285714,16.931677834334476,168.7190771075138,35.393064535692176,125.17
125.17,299970.42074,91798,40146290.0697709,148.76142857142855,16.623914930575946,162.91031555887622,33.19549294015586,141.0
141.0,393108.7479,117861,49029234.277253,144.87428571428572,14.343122460076104,159.9879731023611,39.540694455989986,137.21
137.21,178588.57054,63415,25755598.0586562,140.87714285714284,11.317567044621434,156.9500387622016,37.293457516241546,142.37
142.37,3877.47235,1385,547053.0073028,140.68857142857144,11.273800643632041,155.00555028279305,39.410489633851974,163.73
163.73,65205.08736,27598,10150897.4215024,145.26714285714286,13.326673396219388,156.16906088131503,46.567314224345324,154.65
154.65,133107.16189,57987,21097674.3139538,144.46,12.403576097238151,155.96648161055367,43.09155582985966,148.28
