Close,Volume,Tradecount,Volume USDT,sma_7,volatility_7,ema_14,rsi_14,target
4724.89,556.956802,4161,2579878.72401184,4454.618571428572,168.48082773504677,4396.078403826555,67.85827321156113,4834.91
4834.91,560.666366,4000,2665165.55924616,4533.794285714286,200.33310750324273,4461.184940688444,81.19000503420628,4472.14
4472.14,929.148595,7475,4257723.944817,4553.0371428571425,184.1441266792869,4462.786203222819,61.102642723625934,4509.08
4509.08,691.216198,6022,3121052.75230181,4581.475714285714,153.11386186508156,4469.46706829922,64.2920398752706,4100.11
4100.11,1394.644614,9317,5909947.49008974,4540.535714285715,231.91306538278337,4416.742472480698,52.31352316142715,4366.47
4366.47,1228.938157,10084,5083453.18675071,4508.9628571428575,239.3808712571046,4409.633154657617,57.923451782186596,4619.77
4619.77,807.363726,7956,3626346.05544323,4518.1957142857145,242.68236578273618,4439.111551887709,61.292108358299636,4691.61
4691.61,500.429975,3070,2305795.13638315,4513.441428571428,238.24362463863181,4474.288088774385,58.90351170795288,4282.8
4282.8,1132.255046,4733,4866527.22639337,4434.568571428571,202.84110410438612,4447.769735457368,50.04269413854028,4258.81
4258.81,658.782952,3777,2815383.46568698,4404.092857142858,212.07119879215904,4421.735658730948,48.395299296105634,4130.37
4130.37,660.373275,3435,2700371.80819211,4349.9914285714285,228.49446035798366,4381.770070453412,46.479027577143704,4208.47
4208.47,699.989065,4228,2956842.76250147,4365.471428571429,211.80513217173507,4358.089886368725,46.50880315499674,4163.72
4163.72,879.630319,6501,3725190.62328952,4336.507142857144,225.0920615151571,4331.618269864192,41.15833024135713,3944.69
3944.69,913.462545,5019,3570365.92571669,4240.067142857143,228.09965985027202,4279.071959466078,38.18363399576051,3189.02
3189.02,1665.021543,9066,5914261.40460825,4025.4114285714286,385.2372307824784,4131.403617109787,25.767200161331886,3700.0
3700.0,1968.866492,10445,6588767.18669446,3942.154285714286,383.3118404492241,4073.086314834253,34.10467920349991,3714.95
3714.95,1297.563953,8809,4804878.24721283,3864.46,363.01146308805903,4024.7625697960025,38.25016354538697,3699.99
3699.99,682.17121,6355,2466490.27859466,3802.977142857143,346.5412901668084,3981.010541012427,37.358561154002196,4035.01
4035.01,1030.006455,8220,4069033.05715863,3778.197142857143,317.71623753040393,3988.275082979644,48.958799601617564,3910.04
3910.04,902.332129,7342,3558315.19743872,3741.9571428571426,278.4549478649571,3977.7627036650024,42.35411949405233,3900.0
3900.0,720.935076,7231,2839584.45308804,3735.5728571428576,273.50032527185283,3967.324609190839,36.872936654001876,3609.99
3609.99,1001.654084,8714,3757043.07821264,3795.7114285714283,153.0517676505313,3919.40252782971,31.72766327754408,3595.87
3595.87,838.966425,8152,3031771.43292849,3780.835714285714,168.2141355393117,3876.0473025382616,36.609708068702545,3780.0
3780.0,752.792791,8402,2799706.99951511,3790.128571428571,165.7464142828402,3863.1850589061055,41.21504325344451,3660.02
3660.02,661.63639,8724,2445788.43620041,3784.4185714285713,170.00308462187448,3835.9938996081705,41.34338940158963,3920.75
3920.75,727.994713,9740,2784170.85318322,3768.095714285714,145.67740466033578,3847.3317481670997,45.03818088581038,3882.35
3882.35,526.727987,7971,2061195.57868009,3764.1399999999994,141.4966225745328,3852.0141040374597,45.137037932409534,4193.0
4193.0,628.170966,8373,2554629.81447101,3805.997142857142,213.43483874587122,3897.590712852956,54.159839725043554,4174.5
4174.5,849.785325,11426,3553178.87037354,3886.641428571428,232.80092793547675,3934.590626858948,71.9245003172752,4174.69
4174.69,1602.309565,14834,6571746.35900076,3969.3300000000004,214.37497879494572,3966.6629814377084,63.66682930277509,4378.51
4378.51,720.353183,9324,3088354.40084536,4054.8314285714287,243.63523030879435,4021.6637614364613,67.23066966781474,4378.48
4378.48,726.963685,9816,3137143.89184457,4157.4685714285715,196.3332221359542,4069.3052048095014,67.75603298008232,4380.0
4380.0,655.756974,8185,2905282.77570845,4223.075714285714,180.10870743869737,4110.780933151557,60.937548996489916,4310.0
4310.0,1082.323563,12379,4627422.74283879,4284.168571428571,99.97527834896239,4137.3711207343,63.13825395899432,4208.59
4208.59,868.465101,11006,3676415.10054891,4286.395714285714,97.75481963517132,4146.875535328364,59.56281053252307,4292.43
4292.43,779.138638,9158,3295532.82397779,4303.242857142856,84.52317901307507,4166.297964582272,74.24608401824376,4369.0
4369.0,506.529176,6546,2212035.12414239,4331.001428571429,64.89658887506515,4193.343206706353,76.30105317960309,4423.0
4423.0,297.5975,4804,1302533.21459281,4337.357142857143,72.10329458822517,4223.982083869896,73.99898402855558,4640.0
4640.0,518.462004,7580,2347356.46944654,4374.717142857143,136.21339443611927,4279.479351267303,84.1061899283848,4786.95
4786.95,646.463145,10372,3040508.90436387,4432.852857142857,207.19323667487302,4347.171927620543,82.73917425741678,4783.06
4783.06,1043.221773,11967,5044283.86347582,4500.432857142858,235.63992571395204,4405.312536848533,84.95540784916157,4821.43
4821.43,753.429396,5895,3609240.90903919,4587.981428571429,222.62475659193876,4460.813231313531,80.92393278849802,5430.0
5430.0,1276.701482,8030,6659759.29119366,4750.4914285714285,349.79727950288634,4590.075205299955,89.08390120089243,5649.98
5649.98,1879.82762,11663,10597340.30104987,4933.488571428571,440.3175218872787,4731.430979189056,90.3978743856238,5869.99
5869.99,970.759046,6259,5533972.4859947,5140.2014285714295,496.7564841861197,4883.271557184899,90.48226450391843,5709.99
5709.99,1343.523375,7452,7553650.20132813,5293.057142857143,481.5782194588386,4993.521265626784,83.25266785264681,5760.02
