MSE,MAE,R2,fold,crypto
1.4295015441130843,1.0038682286694607,-47.68947113150441,1,BTCUSDT
0.47740524348804925,0.5083320199017684,-0.4049769000614085,2,BTCUSDT
0.015278821847085023,0.11023408381464761,0.9065573182706825,3,BTCUSDT
0.0018254886445630326,0.03415121458386457,0.9832653063226646,4,BTCUSDT
0.0008264151308352756,0.021892135876618788,0.983622407727255,5,BTCUSDT
4.517315006638859,1.7030875191547878,-59.57439831102127,1,ETHUSDT
0.9394546079562858,0.7091076115340407,-0.33479573577812927,2,ETHUSDT
0.030000356741644845,0.14017079501310634,0.8450372631939649,3,ETHUSDT
0.00117019573274112,0.026511930565786896,0.9808796580009111,4,ETHUSDT
0.0019822314993102716,0.0326030314874116,0.9607664790412959,5,ETHUSDT
67749.6886218414,176.41923331040877,-47126.691537971834,1,DOGEUSDT
0.688976806213086,0.7155026098090673,-2.9106880623216447,2,DOGEUSDT
0.09810807520633569,0.2878413160024816,-3.1508911972168505,3,DOGEUSDT
0.0033019436726034225,0.043115680903902984,0.9732564852026996,4,DOGEUSDT
0.008766955146905146,0.07219686630129118,0.9539881094529064,5,DOGEUSDT
11.459871190240326,2.7998881239235764,-27.763500114302026,1,ADAUSDT
16.81942577940973,3.365749216106052,-120.07754504502965,2,ADAUSDT
0.025399702320360148,0.14487100994543456,0.8055066227867401,3,ADAUSDT
0.0019051722358025592,0.03286747788095924,0.9826684820187046,4,ADAUSDT
0.003808971743341379,0.03765917181313912,0.9755704167804464,5,ADAUSDT
5.034350646519207,2.0599884044560004,-90.0994536710573,1,BNBUSDT
5.955011110097536,1.838406146202708,-3.6070505150736016,2,BNBUSDT
0.07901518873749938,0.25486805302636345,-0.6489781447771679,3,BNBUSDT
0.0022806882440045977,0.037774927904067605,0.9758520180905296,4,BNBUSDT
0.0011711118070523766,0.025822623749894913,0.8598796003006773,5,BNBUSDT
4.093429184900297,1.5944824154171184,-41.29421027010447,1,XRPUSDT
1.0984770324779292,0.8321814820857513,-9.32755792146383,2,XRPUSDT
0.0194440639266119,0.12325597079443955,0.6816601474719637,3,XRPUSDT
0.0023771143999382076,0.02892361706548576,0.85590256029931,4,XRPUSDT
0.008752487201635057,0.0683735291218015,0.9830899035104825,5,XRPUSDT
22.28897266433786,4.231370179324013,-623.6538369803371,1,LTCUSDT
0.13067452064215052,0.2842876620121731,-0.11346925615609793,2,LTCUSDT
0.0033057767272832283,0.04407555516719109,0.9661589412176498,3,LTCUSDT
0.0016849320589560253,0.02944013999062993,0.9229450686232539,4,LTCUSDT
0.0019191631725757005,0.03262636522934757,0.957979209932097,5,LTCUSDT
92535.58155407355,236.21674467331772,-443220.93472518807,1,LINKUSDT
2.3505402516951954,1.4518121048858819,-7.335270176847823,2,LINKUSDT
0.03761761693035675,0.16712915860939784,-2.132738283004699,3,LINKUSDT
0.0024647765052887858,0.03870517508281641,0.9827965733715057,4,LINKUSDT
0.0030420741578479557,0.04110017031936885,0.9582569481041062,5,LINKUSDT
327027.88913009444,499.46980355281335,-965492.7074496103,1,SOLUSDT
5.695524125224025,2.09475754998008,-46.382863293252875,2,SOLUSDT
0.023930792617909345,0.13852611646746618,0.9398042011182386,3,SOLUSDT
0.04881088497816911,0.18144221828513335,-0.9632353883537335,4,SOLUSDT
0.0042947966939201184,0.05230454520632926,0.9069012285237248,5,SOLUSDT
10052.085573121478,42.06718169512411,-3371.8832759898473,1,MATICUSDT
6991.835557070685,67.51097835134232,-98402.9633362551,2,MATICUSDT
0.3484268466549238,0.5544008018006211,-4.262410336548079,3,MATICUSDT
0.0033672906786532167,0.045942364606768496,0.9634279701407766,4,MATICUSDT
0.0032681533451298745,0.04594750145189961,0.9617937893745377,5,MATICUSDT
