,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2889.0,2889,2889.0,2889.0,2889.0,2889.0,2889.0,2889.0,2889.0
mean,1627689600000.0,2021-07-31 00:00:00,31724.052121841472,32450.238196607825,30954.867403946,31764.109415022504,65091.79170179439,1755120380.3356955,1760629.7313949463
min,1502928000000.0,2017-08-17 00:00:00,3188.01,3276.5,2817.0,3189.02,228.108068,977865.7333321,2153.0
25%,1565308800000.0,2019-08-09 00:00:00,8825.67,9072.32,8582.6,8841.18,26431.99322,354845083.7761889,377306.0
50%,1627689600000.0,2021-07-31 00:00:00,22961.85,23452.0,22500.0,22987.79,41646.346671,1107940389.9242406,1030872.0
75%,1690070400000.0,2023-07-23 00:00:00,47073.73,48300.01,45696.0,47100.89,68712.449461,2469588785.6981573,2091832.0
max,1752451200000.0,2025-07-14 00:00:00,119086.65,123218.0,118905.18,119841.18,760705.362783,17465307097.88407,15223589.0
std,72068554562.99925,,27705.056618314236,28231.897924571153,27177.816299543792,27748.806200788946,78278.62434661185,1972650988.837873,2135025.0620290893
