,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2373.0,2373,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0
mean,1650067200000.0,2022-04-16 00:00:00,12.036666455962916,12.566052928782133,11.4574597977244,12.043033375474081,6482443.203545723,83168842.05032258,176473.30636325327
min,1547596800000.0,2019-01-16 00:00:00,0.385,0.4065,0.0001,0.3832,225429.95,95660.216465,911.0
25%,1598832000000.0,2020-08-31 00:00:00,6.014,6.183,5.842,6.014,2998801.55,20891814.879718,60514.0
50%,1650067200000.0,2022-04-16 00:00:00,10.91,11.29,10.472,10.9147,4972738.23,46981037.0894,123674.0
75%,1701302400000.0,2023-11-30 00:00:00,16.368,17.2554,15.56,16.367,7925390.07,109236722.8471,225351.0
max,1752537600000.0,2025-07-15 00:00:00,52.277,53.0,46.5,52.269,73634341.0,955151359.6236064,2043248.0
std,59198724007.87031,,8.830191241152878,9.29394434209545,8.287472327421431,8.82752239592391,5755865.790735421,101035539.67265709,184554.560159184
