,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2201.0,2201,2201.0,2201.0,2201.0,2201.0,2201.0,2201.0,2201.0
mean,1657324800000.0,2022-07-09 00:00:00,0.10964413380281689,0.11506292962289867,0.10417508973194003,0.10973038032712404,1822817800.650341,286900108.66014665,530093.7033166742
min,1562284800000.0,2019-07-05 00:00:00,0.0014971,0.0016428,0.0011345,0.0015817,29517748.0,63641.7243588,489.0
25%,1609804800000.0,2021-01-05 00:00:00,0.0081581,0.0087708,0.007288,0.0082472,427274791.0,12270905.8322511,37248.0
50%,1657324800000.0,2022-07-09 00:00:00,0.08075,0.08317,0.07836,0.08083,831525229.0,78763665.2956,170220.0
75%,1704844800000.0,2024-01-10 00:00:00,0.16136,0.16915,0.155,0.16146,1640096206.0,217031959.50415,534265.0
max,1752364800000.0,2025-07-13 00:00:00,0.68982,0.73995,0.6,0.68982,109073693231.0,17598561857.084927,15330777.0
std,54908780465.058586,,0.10434451591541304,0.11131492228287791,0.0970825742690084,0.10433448469428473,4830248469.964645,880437762.5730604,1077832.9660645754
