,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2806.0,2806,2806.0,2806.0,2806.0,2806.0,2806.0,2806.0,2806.0
mean,2254522831646.4717,2021-09-08 12:00:00,247.48730862437634,253.94215299358518,240.43262198859583,247.72319640057017,1573579.2072435496,230378042.9677718,388921.10905203136
min,1509926400000.0,2017-11-06 00:00:00,1.5,1.5765,0.5,1.49,51648.289,192128.335549,851.0
25%,1570514400000.0,2019-10-08 06:00:00,17.4528,17.904425,16.806275,17.464875,415472.3465,41554262.7229205,79475.5
50%,1631102400000.0,2021-09-08 12:00:00,243.25,247.95,239.2,243.25,1019366.3840000001,95164979.20844999,212925.5
75%,1691690400000.0,2023-08-10 18:00:00,414.65,426.0,401.425,414.675,2263015.9357249998,230982624.3077,484184.25
max,1751068800000000.0,2025-07-12 00:00:00,749.71,793.86,729.69,749.72,20188858.198,5528652618.860825,4491728.0
std,33025973826431.863,,230.48933442732988,235.92710896626588,224.50462547268958,230.58632057470365,1668377.8950001798,419581814.9247074,502247.55593200127
