,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2644.0,2644,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0
mean,1638100800000.0,2021-11-28 12:00:00.000000256,0.5032118154311649,0.5236433169440241,0.4812719515885022,0.5033797881996974,227385976.23250756,137347324.36516494,256299.41036308624
min,1523923200000.0,2018-04-17 00:00:00,0.02332,0.0265,0.01765,0.02329,18121235.9,995544.370196,4886.0
25%,1581012000000.0,2020-02-06 18:00:00,0.0910175,0.09442,0.08702499999999999,0.09098999999999999,92862428.22500001,15665852.99857675,43559.75
50%,1638100800000.0,2021-11-28 12:00:00,0.3522,0.36499000000000004,0.34225,0.35235,149041583.35,39714207.194175,107198.0
75%,1695189600000.0,2023-09-20 06:00:00,0.6604975,0.687775,0.63045,0.6611175,263132924.225,122250265.50596125,288229.25
max,1752278400000.0,2025-07-12 00:00:00,2.965,3.101,2.9,2.966,2261842102.36,3616451442.958993,4377602.0
std,65957879213.9347,,0.53630625100031,0.5601913239272893,0.5103108762483687,0.5362949395530351,241395425.82774833,283302425.29108554,412754.9858206808
