,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2889.0,2889,2889.0,2889.0,2889.0,2889.0,2889.0,2889.0,2889.0
mean,1627689600000.0,2021-07-31 00:00:00,1519.8874697127035,1564.6051886465907,1469.869906542056,1520.8261751471098,529888.0756794878,825322628.8446894,904348.4752509518
min,1502928000000.0,2017-08-17 00:00:00,83.75,85.0,81.79,83.76,1060.56734,302739.7337531,1431.0
25%,1565308800000.0,2019-08-09 00:00:00,294.42,304.45,283.0,294.49,238230.511,94158006.4889456,169515.0
50%,1627689600000.0,2021-07-31 00:00:00,1548.66,1588.77,1490.0,1549.9,415000.0685,521285357.08642304,529231.0
75%,1690070400000.0,2023-07-23 00:00:00,2485.47,2550.34,2401.18,2486.56,691809.5034,1262292139.414203,1107620.0
max,1752451200000.0,2025-07-14 00:00:00,4807.98,4868.0,4713.89,4807.98,4663239.92861,11641524166.98746,10550628.0
std,72068554562.99925,,1217.3350456681078,1250.3627072759768,1179.748019555288,1217.4525497912823,456195.15492172504,961831648.3834907,1194521.516201272
