,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,1964.0,1964,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
mean,1641038400000.0,2022-01-01 12:00:00,0.6543253258655805,0.6837359725050917,0.6236739714867617,0.6545134826883909,258129070.92545822,102620899.07874341,210561.53360488798
min,1556236800000.0,2019-04-26 00:00:00,0.00263,0.00341,0.00263,0.00314,12271911.5,413793.940851,1594.0
25%,1598637600000.0,2020-08-28 18:00:00,0.0210775,0.022225,0.0201275,0.0210975,66145487.3,10324323.010137,28368.5
50%,1641038400000.0,2022-01-01 12:00:00,0.66275,0.6804,0.6315,0.663,124489859.65,43616288.190276,111437.5
75%,1683439200000.0,2023-05-07 06:00:00,0.9959250000000001,1.030075,0.9504250000000001,0.9959250000000001,279733683.875,100667653.53023,237288.75
max,1725840000000.0,2024-09-09 00:00:00,2.876,2.923,2.711,2.876,7216196145.9,4105367894.924448,5339444.0
std,48997637298.13918,,0.5902787493995619,0.6205667525863838,0.5586202817537728,0.5901253266442721,438696835.9046557,239291982.41162986,380276.45262192824
