,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2627.0,2627,2627.0,2627.0,2627.0,2627.0,2627.0,2627.0,2627.0
mean,1638835200000.0,2021-12-07 00:00:00,0.6606396269508945,0.6859002740768937,0.6340624857251618,0.661491545489151,359390387.0457518,268082440.40864938,463835.7799771603
min,1525392000000.0,2018-05-04 00:00:00,0.13536,0.14938,0.10129,0.13549,6854397.75,4624460.5306185,11991.0
25%,1582113600000.0,2020-02-19 12:00:00,0.321275,0.3319,0.311375,0.32115499999999997,115182855.35,38514249.9632615,83934.0
50%,1638835200000.0,2021-12-07 00:00:00,0.48461,0.4982,0.469,0.4845,245221984.0,132631266.8746,181160.0
75%,1695556800000.0,2023-09-24 12:00:00,0.64605,0.6748000000000001,0.62205,0.64695,409925086.0,285459177.28023946,442224.5
max,1752278400000.0,2025-07-12 00:00:00,3.2923,3.4,3.1758,3.2922,8608358082.6,6398460707.914023,11491884.0
std,65533873168.6141,,0.5843464666500348,0.6089414064726036,0.5591211974295285,0.5857414869104067,463163435.44221807,464171773.1166112,835718.0537273067
