,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,1800.0,1800,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
mean,1674820800000.0,2023-01-27 12:00:00.000000256,83.41399038888889,86.86680055555554,79.92761422222222,83.50334283333333,4465979.964320555,366699415.3130698,774308.4283333333
min,1597104000000.0,2020-08-11 00:00:00,1.1987,1.3888,1.0301,1.198,478921.26,1058101.061082,5044.0
25%,1635962400000.0,2021-11-03 18:00:00,21.5775,22.3,20.8075,21.645,2329224.72175,72502171.48273376,132950.0
50%,1674820800000.0,2023-01-27 12:00:00,47.073,51.5975,44.365,47.3125,3507815.4765,223024686.37055,366753.0
75%,1713679200000.0,2024-04-21 06:00:00,145.95250000000001,150.4475,141.1225,146.01999999999998,5283830.1825,521901648.90355,1022087.0
max,1752537600000.0,2025-07-15 00:00:00,261.97,295.83,252.69,261.97,34965021.076,6733958631.981311,16728916.0
std,44907225966.42995,,70.7023641066172,73.30061671810452,67.9445898344519,70.70228876074268,3525670.718128061,462626042.4355376,1096916.6163491204
