,Unix,Date,Open,High,Low,Close,Volume,Volume USDT,tradecount
count,2771.0,2771,2771.0,2771.0,2771.0,2771.0,2771.0,2771.0,2771.0
mean,1632787200000.0,2021-09-28 00:00:00.000000256,95.32398051245038,99.0340996030314,91.08406351497655,95.26012991699747,658096.0213660736,72465989.39468,171307.4095994226
min,1513123200000.0,2017-12-13 00:00:00,23.06,23.76,22.32,23.08,3877.47235,547053.0073028,1385.0
25%,1572955200000.0,2019-11-05 12:00:00,59.96,61.81,57.685,59.95,278692.27716,18375742.48413745,51674.0
50%,1632787200000.0,2021-09-28 00:00:00,79.67,82.33,76.22,79.66,463944.984,35977421.6047505,100830.0
75%,1692619200000.0,2023-08-21 12:00:00,114.57,118.575,109.47,114.565,780865.722515,74538289.6790404,191683.5
max,1752451200000.0,2025-07-14 00:00:00,387.77,413.49,345.0,387.8,6731555.34383,1486762183.649728,1832583.0
std,69125453784.83963,,53.245068876255246,56.61421094138562,49.28515950959494,53.140039897840936,636014.8915965764,117032768.76271407,213796.9201362969
